"","X","age","gender","degree","reason_PhD","studying_in_your_home_country","current_living_location","reasons_to_study_outside_your_country_of_upbringing","job_alongside_studies","main_reason_job","reasons_for_having_a_job","satisfaction_decision","satisfaction_now","how_does_your_program_compare_to_your_expectations","supervisor_relationship","contact_hours","work_life_balance","PhD_weekly_hours","university_supports_work_life_balance","university_has_long_hours_culture","have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD","did_you_seek_help_within_your_institution","mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs","supervisor_awareness_of_mental_health_services","university_offers_adequate_one_to_one_mental_health_support","university_offers_a_variety_of_support_resources","experienced_bullying_in_PhD","who_was_the_perpetrator","able_to_speak_out_about_bullying_experiences","experienced_discrimination_or_harrasment","which_have_you_experienced"
"6179",6179,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"2nd","Very satisfied","Worsened a little","Meets original expectations","2","Less than an hour","4 = Neither satisfied nor dissatisfied","51-60 hours","Somewhat disagree","Somewhat agree","No",NA,"Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"Yes","Gender discrimination"
"6180",6180,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"Yes","To help make ends meet",NA,"Somewhat satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Less than an hour","3","21-30 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","No",NA,NA,"No",NA
"6181",6181,"35 - 44","Male (including trans male)","Dual doctorate degree (MD-PhD, PhD-PhD or other combination)","I want to pursue an academic career","Yes","North or Central America",NA,"Yes","To help make ends meet","8th","Somewhat dissatisfied","Worsened a little","Meets original expectations","6","Between one and three hours","7 = Extremely satisfied","41-50 hours","Somewhat agree","Somewhat agree","No",NA,"Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Yes","Supervisor","Yes","No",NA
"6182",6182,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"No",NA,"2nd","Neither satisfied nor dissatisfied","Significantly worsened","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","1 = Not at all satisfied","61-70 hours","Strongly disagree","Somewhat agree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Another student","Yes","No",NA
"6183",6183,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","South America",NA,"No",NA,"2nd","Somewhat satisfied","Improved slightly","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","7 = Extremely satisfied","41-50 hours","Strongly disagree","Strongly disagree","Yes","No, I sought help elsewhere","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Other academic staff member","No","Yes","Age discrimination"
"6184",6184,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","South America",NA,"Yes","To help make ends meet","4th","Very satisfied","Improved slightly","Meets original expectations","5","Less than an hour","4 = Neither satisfied nor dissatisfied","61-70 hours","Prefer not to say","Prefer not to say","Yes","No, I sought help elsewhere","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"Yes","Sexual harassment"
"6185",6185,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"4th","Very satisfied","Stayed the same","Meets original expectations","6","Between one and three hours","2","61-70 hours","Neither agree nor disagree","Somewhat agree","No",NA,"Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"6186",6186,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"2nd","Somewhat satisfied","Improved greatly","Exceeds original expectations","6","Between one and three hours","5","61-70 hours","Somewhat agree","Somewhat disagree","No",NA,"Somewhat disagree","Neither agree nor disagree","Prefer not to say","Strongly agree","No",NA,NA,"No",NA
"6187",6187,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Europe",NA,"No",NA,"1st","Very satisfied","Stayed the same","Exceeds original expectations","7 = Extremely satisfied","Other, please specify","7 = Extremely satisfied","21-30 hours","Somewhat agree","Strongly disagree","No",NA,"Neither agree nor disagree","Somewhat disagree","Strongly disagree","Strongly agree","No",NA,NA,"No",NA
"6188",6188,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"4th","Very satisfied","Stayed the same","Meets original expectations","7 = Extremely satisfied","Between one and three hours","4 = Neither satisfied nor dissatisfied","41-50 hours","Somewhat agree","Neither agree nor disagree","Yes","No, I sought help elsewhere","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"No",NA
"6189",6189,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"7th","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Between one and three hours","2","51-60 hours","Neither agree nor disagree","Somewhat agree","Yes","Yes, it was helpful","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6190",6190,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"2nd","Very satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","3","11-20 hours","Strongly disagree","Strongly disagree","Yes","Yes, it was helpful","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","No",NA,NA,"No",NA
"6191",6191,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"No",NA,"2nd","Very satisfied","Improved greatly","Meets original expectations","5","Less than an hour","6","61-70 hours","Somewhat agree","Somewhat agree","Yes","Yes, it was helpful","Somewhat disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"No",NA
"6192",6192,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"Yes","To help make ends meet","8th","Somewhat satisfied","Significantly worsened","Does not meet original expectations","2","Less than an hour","5","11-20 hours","Somewhat agree","Strongly disagree","Yes","Yes, but I didn’t feel supported","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","Yes","Supervisor","Yes","No",NA
"6193",6193,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","South America",NA,"No",NA,"2nd","Somewhat satisfied","Improved greatly","Does not meet original expectations","7 = Extremely satisfied","Other, please specify","4 = Neither satisfied nor dissatisfied","51-60 hours","Somewhat disagree","Somewhat agree","Yes","No, I sought help elsewhere","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Yes","Other academic staff member","Yes","Yes",NA
"6194",6194,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","North or Central America",NA,"No",NA,"6th","Somewhat satisfied","Significantly worsened","Meets original expectations","5","Less than an hour","4 = Neither satisfied nor dissatisfied","51-60 hours",NA,"Strongly agree","Yes","Other, please specify","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"6195",6195,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"2nd","Somewhat satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","5","51-60 hours","Strongly agree","Strongly disagree","Yes","No, I sought help elsewhere","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"No",NA
"6196",6196,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","No","North or Central America","Lack of PhD programmes in my subject of choice","No",NA,"2nd","Very satisfied","Improved greatly","Meets original expectations","6","More than three hours","3","61-70 hours","Somewhat disagree","Somewhat agree","Yes","Yes, it was helpful","Strongly agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"Yes","Racial discrimination or harassment"
"6197",6197,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"9th","Very satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Between one and three hours","5","41-50 hours","Strongly agree","Strongly disagree","Yes","Yes, it was helpful","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"6198",6198,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,NA,"Somewhat satisfied","Improved slightly","Does not meet original expectations","N/A","More than three hours","1 = Not at all satisfied","41-50 hours","Strongly disagree","Strongly agree","Yes","I wanted to, but there was none available","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","No",NA,NA,"Yes","Age discrimination"
"6199",6199,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"8th","Very satisfied","Improved greatly","Exceeds original expectations","6","Between one and three hours","5","51-60 hours","Strongly agree","Strongly disagree","No",NA,"Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Yes","Supervisor","No","Yes","Gender discrimination"
"6200",6200,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"No",NA,"1st","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Between one and three hours","4 = Neither satisfied nor dissatisfied","51-60 hours","Strongly disagree","Strongly agree","No",NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"6201",6201,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"No",NA,"5th","Very dissatisfied","Significantly worsened","Does not meet original expectations","5","Between one and three hours","2","61-70 hours","Strongly disagree","Somewhat agree","Yes","Other, please specify","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Yes","Supervisor","Unsure","Yes",NA
"6202",6202,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","South America",NA,"No",NA,"1st","Neither satisfied nor dissatisfied","Significantly worsened","Meets original expectations","1 = Not at all satisfied","Less than an hour","5","41-50 hours","Strongly disagree","Somewhat agree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Supervisor","No","Yes","Religious discrimination"
"6203",6203,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","South America",NA,"No",NA,"3rd","Very satisfied","Improved slightly","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","More than 80 hours","Neither agree nor disagree","Strongly agree","Yes","No, I sought help elsewhere","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","No",NA,NA,"No",NA
"6204",6204,"45 - 54","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","South America",NA,"Yes","Other, please specify","1st","Somewhat satisfied","Improved slightly","Meets original expectations","5","Between one and three hours","6","41-50 hours","Strongly disagree","Neither agree nor disagree","No",NA,"Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","No",NA,NA,"No",NA
"6205",6205,"35 - 44","Prefer not to say","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"Yes","To help make ends meet","1st","Very dissatisfied","Worsened a little","Meets original expectations","3","Less than an hour","3","21-30 hours","Strongly agree","Somewhat agree","No",NA,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Prefer not to say",NA,NA,"Prefer not to say",NA
