age,gender,degree,studying_in_your_home_country,current_living_location,reasons_to_study_outside_your_country_of_upbringing,job_alongside_studies,main_reason_job,reasons_for_having_a_job,level_of_satisfaction_with_decision_to_pursue_a_PhD,level_of_satisfaction_since_starting_grad_school,how_does_your_program_compare_to_your_expectations,supervisor_relationship,one_on_one_contact_w_supervisor,work_life_balance,PhD_weekly_hours,university_supports_work_life_balance,university_has_long_hours_culture,have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD,did_you_seek_help_within_your_institution,mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs,supervisor_awareness_of_mental_health_services,university_offers_adequate_one_to_one_mental_health_support,university_offers_a_variety_of_support_resources,experienced_bullying_in_PhD,who_was_the_perpetrator,able_to_speak_out_about_bullying_experiences,experienced_discrimination_or_harrasment,which_have_you_experienced
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,5th,3,Improved slightly,Meets original expectations,2,Less than an hour,6,31-40 hours,3,2,No,NA,3,1,3,3,Yes,Another student,No,No,NA
18 - 24,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,3rd,4,Worsened a little,Meets original expectations,6,Less than an hour,4,41-50 hours,3,3,No,NA,4,4,3,3,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,North or Central America,Lack of quality PhD programmes in my home country,No,NA,1st,5,Worsened a little,Does not meet original expectations,2,Between one and three hours,4,41-50 hours,5,2,No,NA,5,5,5,4,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,1st,4,Improved greatly,Does not meet original expectations,5,Between one and three hours,5,31-40 hours,3,2,Prefer not to say,NA,2,4,4,2,No,NA,NA,No,NA
18 - 24,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,4th,4,Worsened a little,Meets original expectations,5,Between one and three hours,2,51-60 hours,2,5,No,NA,1,4,2,1,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,7th,2,Significantly worsened,Meets original expectations,4,Between one and three hours,1,71-80 hours,1,5,NA,NA,2,1,2,2,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Europe,Lack of funding opportunities in my home country,No,NA,1st,3,Significantly worsened,Does not meet original expectations,1,Less than an hour,3,51-60 hours,2,3,Yes,"Yes, but I didn’t feel supported",1,1,2,1,Yes,Supervisor,No,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,South America,NA,No,NA,3rd,4,Worsened a little,Does not meet original expectations,4,Between one and three hours,5,41-50 hours,1,4,No,NA,2,2,3,3,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,Europe,Lack of quality PhD programmes in my home country,No,NA,2nd,1,Worsened a little,Meets original expectations,6,More than three hours,3,51-60 hours,4,5,Yes,"No, I sought help elsewhere",4,3,3,5,No,NA,NA,No,NA
45 - 54,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Asia (including Middle East),To study at a specific university,Yes,"Other, please specify",12th,5,Improved greatly,Exceeds original expectations,7,More than three hours,3,71-80 hours,1,5,No,NA,2,4,1,2,Yes,Another student,No,Yes,Racial discrimination or harassment
18 - 24,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,1st,5,Improved slightly,Meets original expectations,7,Less than an hour,5,51-60 hours,4,3,Yes,"Yes, it was helpful",4,4,5,4,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,Yes,To help make ends meet,5th,4,Improved slightly,Does not meet original expectations,3,Less than an hour,3,51-60 hours,3,5,Yes,"Yes, it was helpful",5,2,5,5,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,South America,NA,No,NA,3rd,3,Improved slightly,Does not meet original expectations,6,Between one and three hours,5,21-30 hours,2,4,Yes,"Yes, it was helpful",2,1,4,1,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,11th,5,Improved slightly,Does not meet original expectations,6,Between one and three hours,2,51-60 hours,2,5,Yes,"I wanted to, but there was none available",3,1,1,3,Yes,Supervisor,No,Yes,Racial discrimination or harassment
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),No,North or Central America,Lack of quality PhD programmes in my home country,No,NA,NA,5,Improved greatly,Meets original expectations,6,Less than an hour,N/A,51-60 hours,5,2,Prefer not to say,NA,3,5,5,5,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,NA,2,Worsened a little,Exceeds original expectations,7,More than three hours,5,51-60 hours,3,2,No,NA,1,3,1,1,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,1st,4,Improved slightly,Does not meet original expectations,2,Less than an hour,3,61-70 hours,3,5,No,NA,2,1,3,4,Yes,Supervisor,Unsure,Yes,Gender discrimination
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,9th,4,Stayed the same,Meets original expectations,6,Between one and three hours,4,41-50 hours,3,3,No,NA,3,3,3,3,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,8th,4,Significantly worsened,Does not meet original expectations,3,Less than an hour,2,51-60 hours,1,3,No,NA,3,2,4,3,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,1st,4,Worsened a little,Does not meet original expectations,3,Less than an hour,4,41-50 hours,3,3,No,NA,2,1,1,2,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,1st,4,Improved slightly,Meets original expectations,4,Less than an hour,5,51-60 hours,3,5,Yes,"Yes, it was helpful",4,2,5,5,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,11th,5,Significantly worsened,Does not meet original expectations,1,Less than an hour,7,51-60 hours,2,3,Yes,"Yes, but I didn’t feel supported",2,1,2,2,Yes,Postdoc,Yes,Yes,Racial discrimination or harassment
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,Yes,"Other, please specify",2nd,4,Stayed the same,Meets original expectations,6,Between one and three hours,5,31-40 hours,4,4,No,NA,4,3,4,4,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,2nd,4,Significantly worsened,Meets original expectations,7,Between one and three hours,2,61-70 hours,2,3,No,NA,1,2,2,2,Yes,Postdoc,No,Yes,Age discrimination
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,Yes,"Other, please specify",4th,4,Worsened a little,Does not meet original expectations,1,Between one and three hours,6,41-50 hours,4,2,Prefer not to say,NA,1,2,1,1,Yes,Supervisor,No,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Europe,Lack of quality PhD programmes in my home country,No,NA,3rd,2,Significantly worsened,Does not meet original expectations,1,Less than an hour,1,61-70 hours,2,4,Yes,"No, I sought help elsewhere",2,1,2,2,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,Yes,To help make ends meet,4th,3,Worsened a little,Meets original expectations,6,Less than an hour,3,51-60 hours,2,4,Yes,"No, I sought help elsewhere",1,1,3,4,No,NA,NA,Yes,Sexual harassment
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,North or Central America,Lack of quality PhD programmes in my home country,No,NA,1st,2,Improved slightly,Does not meet original expectations,1,Less than an hour,1,51-60 hours,NA,3,Yes,"Yes, it was helpful",1,Prefer not to say,1,1,No,NA,NA,Yes,Racial discrimination or harassment
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,2nd,2,Stayed the same,Meets original expectations,6,Less than an hour,6,51-60 hours,4,2,Yes,"Yes, but I didn’t feel supported",1,3,1,3,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,NA,5,Worsened a little,Meets original expectations,3,Less than an hour,3,61-70 hours,4,2,No,NA,3,Prefer not to say,4,4,No,NA,NA,No,NA
18 - 24,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,1st,4,Significantly worsened,Does not meet original expectations,3,Less than an hour,2,51-60 hours,2,5,No,NA,3,2,3,3,Yes,Supervisor,No,Yes,Sexual harassment
18 - 24,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,North or Central America,To study at a specific university,No,NA,8th,4,Significantly worsened,Meets original expectations,5,Between one and three hours,5,51-60 hours,2,4,Yes,"Yes, it was helpful",3,4,4,4,No,NA,NA,No,NA
18 - 24,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,3rd,5,Improved slightly,Exceeds original expectations,6,Between one and three hours,6,51-60 hours,4,1,No,NA,5,5,4,4,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,8th,4,Improved slightly,Exceeds original expectations,4,Less than an hour,6,51-60 hours,3,4,NA,NA,4,3,4,4,Yes,Postdoc,Yes,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Asia (including Middle East),To study at a specific university,No,NA,5th,2,Significantly worsened,Does not meet original expectations,4,Between one and three hours,4,More than 80 hours,1,5,Yes,"Yes, but I didn’t feel supported",1,3,5,3,Yes,Another student,No,Yes,Racial discrimination or harassment
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,4th,4,Improved slightly,Meets original expectations,7,More than three hours,3,71-80 hours,1,4,No,NA,4,4,3,4,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,NA,4,Worsened a little,Does not meet original expectations,6,Between one and three hours,2,71-80 hours,2,5,No,NA,1,5,2,2,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,Yes,To develop additional skills,2nd,2,Worsened a little,Does not meet original expectations,4,Between one and three hours,3,21-30 hours,Prefer not to say,3,Yes,"Yes, it was helpful",2,3,5,4,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,South America,NA,No,NA,4th,3,Worsened a little,Meets original expectations,4,Less than an hour,4,51-60 hours,2,4,Yes,"No, I sought help elsewhere",1,1,2,2,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,3rd,5,Improved slightly,Meets original expectations,6,Between one and three hours,6,61-70 hours,4,2,No,NA,5,3,5,5,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Europe,Lack of quality PhD programmes in my home country,No,NA,5th,4,Worsened a little,Meets original expectations,7,Less than an hour,2,71-80 hours,2,5,Yes,"Yes, but I didn’t feel supported",3,4,2,4,No,NA,NA,Yes,Sexual harassment
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,South America,NA,No,NA,2nd,2,Improved slightly,Meets original expectations,7,Between one and three hours,2,31-40 hours,1,5,Yes,I didn’t seek help,2,2,3,3,Prefer not to say,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,1st,4,Stayed the same,Meets original expectations,7,Less than an hour,6,41-50 hours,5,1,No,NA,4,3,4,5,No,NA,NA,No,NA
45 - 54,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,1st,1,Stayed the same,Meets original expectations,5,Between one and three hours,5,41-50 hours,5,4,No,NA,3,3,3,4,No,NA,NA,Yes,Racial discrimination or harassment
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,2nd,3,Significantly worsened,Meets original expectations,6,Less than an hour,5,41-50 hours,3,2,Yes,"Yes, but I didn’t feel supported",1,1,4,4,Yes,Other academic staff member,No,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,4th,1,Significantly worsened,Does not meet original expectations,3,Less than an hour,2,41-50 hours,2,5,Yes,"Yes, it was helpful",2,1,5,5,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,7th,4,Worsened a little,Does not meet original expectations,5,Between one and three hours,4,51-60 hours,1,4,Yes,"I wanted to, but there was none available",1,1,1,3,Yes,Supervisor,Yes,No,NA
18 - 24,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,4th,5,Worsened a little,Meets original expectations,5,Less than an hour,5,31-40 hours,2,5,No,NA,1,2,1,4,Yes,Other academic staff member,No,Yes,Sexual harassment
18 - 24,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,6th,4,Worsened a little,Does not meet original expectations,1,Less than an hour,3,51-60 hours,2,2,No,NA,3,1,3,3,No,NA,NA,No,NA
18 - 24,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,NA,5,Improved greatly,Exceeds original expectations,5,Between one and three hours,5,51-60 hours,3,4,No,NA,2,3,3,4,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,5th,5,Improved slightly,Meets original expectations,5,More than three hours,5,61-70 hours,2,5,Yes,"Yes, it was helpful",4,4,2,4,Yes,Supervisor,No,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,7th,4,Worsened a little,Meets original expectations,6,Less than an hour,3,41-50 hours,1,3,No,NA,2,4,2,4,No,NA,NA,No,NA
18 - 24,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,North or Central America,To study at a specific university,No,NA,6th,5,Worsened a little,Does not meet original expectations,7,Less than an hour,4,51-60 hours,2,4,No,NA,3,3,3,4,No,NA,NA,No,NA
18 - 24,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,3rd,5,Improved greatly,Exceeds original expectations,7,Between one and three hours,6,51-60 hours,3,4,Yes,"No, I sought help elsewhere",4,5,4,3,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,Yes,To develop additional skills,1st,1,Significantly worsened,Does not meet original expectations,1,Less than an hour,1,Less than 11 hours,1,1,No,NA,1,1,1,1,No,NA,NA,Yes,Racial discrimination or harassment
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,Europe,NA,No,NA,1st,4,Worsened a little,Meets original expectations,5,Less than an hour,4,71-80 hours,2,5,Yes,"Yes, it was helpful",2,2,2,2,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,South America,NA,No,NA,4th,1,Improved greatly,Meets original expectations,7,More than three hours,7,21-30 hours,3,5,No,NA,1,5,1,2,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),No,Europe,To study at a specific university,No,NA,5th,5,Worsened a little,Meets original expectations,5,Less than an hour,3,41-50 hours,4,5,No,NA,3,3,3,3,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,7th,4,Significantly worsened,Does not meet original expectations,7,Less than an hour,3,41-50 hours,3,4,Yes,"Yes, it was helpful",1,1,4,4,Prefer not to say,NA,NA,Yes,Sexual harassment
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,Yes,To help make ends meet,13th,2,Worsened a little,Does not meet original expectations,4,Between one and three hours,1,61-70 hours,1,5,No,NA,1,1,1,1,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,9th,5,Worsened a little,Meets original expectations,5,Less than an hour,5,51-60 hours,4,4,Prefer not to say,NA,4,4,4,5,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,NA,4,Worsened a little,Does not meet original expectations,3,Less than an hour,5,51-60 hours,4,5,No,NA,4,2,4,5,No,NA,NA,No,NA
35 - 44,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,Yes,To help make ends meet,6th,5,Improved greatly,Exceeds original expectations,6,Less than an hour,3,21-30 hours,4,2,Yes,"No, I sought help elsewhere",3,3,3,3,No,NA,NA,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,Asia (including Middle East),NA,No,NA,8th,4,Worsened a little,Does not meet original expectations,N/A,Between one and three hours,3,31-40 hours,1,4,Prefer not to say,NA,2,Prefer not to say,1,1,Yes,Another student,Unsure,No,NA
25 - 34,Female (including trans female),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,1st,5,Improved slightly,Meets original expectations,6,Between one and three hours,6,41-50 hours,3,2,Yes,"Yes, it was helpful",4,2,2,1,No,NA,NA,Yes,Gender discrimination
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,8th,4,Improved slightly,Does not meet original expectations,7,Between one and three hours,2,41-50 hours,2,4,Yes,"Other, please specify",3,3,3,4,No,NA,NA,No,NA
25 - 34,Male (including trans male),"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",Yes,North or Central America,NA,No,NA,1st,3,Worsened a little,Does not meet original expectations,4,Less than an hour,2,61-70 hours,3,2,No,NA,3,2,2,3,No,NA,NA,No,NA
25 - 34,Male (including trans male),Doctorate degree (PhD/DPhil/MD),Yes,North or Central America,NA,No,NA,1st,5,Worsened a little,Meets original expectations,5,Less than an hour,2,41-50 hours,2,4,No,NA,3,4,3,3,No,NA,NA,No,NA
